school_name,school_address,latitude
Farmingdale Senior High School,"150 Lincoln St Farmingdale, NY 11735","(40.7088880833333, -73.44481375)"
Oyster Bay High School,"150 E Main St Oyster Bay, NY 11771","(40.871103, -73.524441)"
Division Avenue Senior High School,"120 Division Ave Levittown, NY 11756","(40.729291, -73.5254890375394)"
Brewster High School,"50 Foggintown Rd, NY 10509","(41.4420644, -73.6034464154583)"
Bergenfield High School,"80 S Prospect Ave Bergenfield, NJ 07621","(40.92492385, -74.0075912017449)"
Carle Place Middle Senior High School,"168 Cherry Ln Carle Place, NY 11514","(40.751256222336, -73.6057170463739)"
Morristown High School,"50 Early Street Morristown, NJ 07960","(40.8019386428571, -74.4855666785714)"
Dumont High School,"101 New Milford Ave Dumont, NJ 07628","(40.9437758, -73.9972161822002)"
Kings Park High School,"200 Rt 25a Kings Park, NY 11754","(None, None)"
Elizabeth High School,"40 Morrell Street Elizabeth, NJ 07201","(40.6623450833333, -74.2101689375)"
Bayport-Blue Point High School,"200 Snedecor Ave Bayport, NY 11705","(40.74280205, -73.0547115423981)"
Valley Stream South High School,"150 Jedwood Pl Valley Stream, NY 11581","(40.6552822232762, -73.7126530937699)"
Susan E. Wagner High School,"1200 Manor Rd Staten Island, NY 10314","(40.5973266, -74.1251425)"
New Rochelle High School,"265 Clove Rd New Rochelle, NY 10801","(40.927941321444, -73.79309179312)"
Forest Hills High School,"67-01 110th St, NY 11375","(40.7297049, -73.8450937)"
Piscataway Township High School,"100 Behmer Road Piscataway, NJ 08854","(40.5466501, -74.4703965100402)"
"High School for Construction, Trades, Engineering & Architecture","94-06 104th St Ozone Park, NY 11416","(40.6892721, -73.8409033041347)"
Academy of Finance & Enterprise,"30-20 Thomson Ave Long Island City, NY 11101","(40.7455819, -73.9392201)"
Comsewogue High School,"565 Bicycle Path Port Jefferson Sta, NY 11776","(None, None)"
Connetquot High School,"190 7th St Bohemia, NY 11716","(40.7827424, -73.1367133333333)"
Bergen Arts & Sciences Charter School,"200 Macarthur Avenue Garfield, NJ 07026","(40.874420559322, -74.0984063220339)"
Village School,"614 Middle Neck Rd Great Neck, NY 11023","(40.8031749419261, -73.7360430923387)"
Old Bridge High School,Old Bridge High School,"(40.4066646, -74.2722248197172)"
Jonathan Dayton High School,"139 Mountain Ave Springfield, NJ 07081","(40.707153, -74.314802)"
Middletown High School South,Middletown High School South,"(40.3572659, -74.1156556)"
James Caldwell High School,"265 Westville Ave West Caldwell, NJ 07006","(40.8423371, -74.2962311846239)"
Park Ridge High School,"2 Park Ave Park Ridge, NJ 07656","(41.03457, -74.042292)"
Central Jersey College Prep Charter School,"101 Mettlers Road Somerset, NJ 08873","(40.5196490343706, -74.5661741063183)"
Long Beach High School,"322 Lagoon Dr WLong Beach, NY 11561","(None, None)"
Wayne Valley High School,"551 Valley Road Wayne, NJ 07470","(40.93081455, -74.2307497604976)"
Democracy Prep Charter High School,"222 W 134th St New York, NY 10030","(40.8149449, -73.9454710222652)"
Freehold Township High School,"281 Elton Adelphia Road Freehold Twp., NJ 07728","(40.2209962142991, -74.2818800771976)"
Putnam Valley High School,"146 Peekskill Hollow Rd, NY 10579","(41.338194, -73.855761)"
Hicksville High School,"180 Division Ave Hicksville, NY 11801","(40.759297, -73.525058)"
All City Leadership Secondary School,"321 Palmetto St Brooklyn, NY 11237","(40.6974555625, -73.91320853125)"
Manhattan Village Academy,"43 W 22nd St New York, NY 10010","(40.74201555, -73.9921904346634)"
Benjamin N. Cardozo High School,"57-00 223rd St Bayside, NY 11361","(40.768222, -73.761383)"
Plainedge Senior High School,"241 Wyngate Dr Massapequa, NY 11758","(40.6992244333333, -73.4760646333333)"
High School for Dual Language & Asian Studies,"350 Grand St New York, NY 10002","(40.7173439, -73.9893919)"
Special Music School,"129 W 67th St New York, NY 10023","(40.7752346, -73.9829549)"
New Milford High School,"330 River Road New Milford, NJ 07646","(40.9415374444444, -74.0209313333333)"
Secaucus High School,Secaucus High School,"(40.80399355, -74.0511772316032)"
West Orange High School,"51 Conforti Ave West Orange, NJ 07052","(40.805478, -74.257907)"
Saunders Trades & Technical High School,"183 Palmer Rd Yonkers, NY 10701","(40.94354555, -73.8703140281328)"
Central Park East High School,Central Park East High School,"(40.79018675, -73.9440122628272)"
Baldwin Senior High School,Baldwin Senior High School,"(40.6685449, -73.6049891318937)"
Tuckahoe High School,"65 Siwanoy Blvd Eastchester, NY 10707","(40.9431006734694, -73.8105025918367)"
Brooklyn Prospect Charter School,"3002 Fort Hamilton Pkwy Brooklyn, NY 11218","(40.6481547, -73.9785828)"
H. Frank Carey High School,"230 Poppy Ave Franklin Square, NY 11010","(40.7119505306122, -73.6687709183673)"
Verona High School,"151 Fairview Ave Verona, NJ 07044","(40.8412107, -74.247369)"
Centereach High School,"14 43rd St Centereach, NY 11720","(40.8742991, -73.089503)"
Queens High School for Language Studies,"35-01 Union St Flushing, NY 11354","(40.7586437, -73.8257291)"
Deer Park High School,"1 Deer Park, NY 11729","(40.7617653, -73.3292858)"
Achievement First - Bushwick School,"1300 Greene Ave Brooklyn, NY 11237","(40.6977934, -73.9195423)"
Academy for Careers in Television & Film,"1-50 51st Ave Long Island City, NY 11101","(40.7429152, -73.9595696)"
Bayside High School,"32-24 Bayside, NY 11361","(40.7684351, -73.7770774)"
